"Instituto Nacional de Estadística y Geografía",
"Índice Nacional de Precios al Consumidor y sus Componentes",

"Título"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Subyacente"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Mercancías"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Mercancías, Alimentos, bebidas y tabaco"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Mercancías, Mercancías no alimenticias"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios, Vivienda"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios, Educación (colegiaturas)"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios, Otros servicios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Agropecuarios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Agropecuarios, Frutas y verduras"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Agropecuarios, Pecuarios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Energéticos y tarifas autorizadas por el gobierno"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Energéticos y tarifas autorizadas por el gobierno, Energéticos"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Energéticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno",
"Periodo disponible","Ene 1970-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025","Ene 1982-Jun 2025",
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual",
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad",
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100",
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ",
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 865541 "," 865542 "," 865548 "," 865549 "," 865550 "," 865551 "," 865552 "," 865553 "," 865554 "," 865555 "," 865556 "," 865557 "," 865558 "," 865559 "," 865560 "," 865561 ",
"Ene 2000","44.9308301163779","48.9691697255271","48.1345599597708","37.8698116976703","57.8496114152748","49.169591401813","54.8310370935216","31.9017640995013","50.0939030195949","33.9971982665694","35.6566763175674","35.9320802491539","35.4498518262853","32.6529549092667","29.2249480457054","39.5753233526902",
"Feb 2000","45.3293803145216","49.5079682394766","48.6513939607312","38.3165382409375","58.4223788581093","49.7262074273778","55.3923639818431","32.1927720922516","50.7331919027562","34.0895986607142","35.2411414772719","34.3094875657959","35.8031382480412","33.1497963683291","29.5829113357592","40.3228479965286",
