"Instituto Nacional de Estadística y Geografía",
"Índice Nacional de Precios al Consumidor y sus Componentes",

"Título"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Principales índices (Quincenal), Precios al Consumidor (INPC)"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Principales índices (Quincenal), Precios al Consumidor (INPC), Subyacente"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Mercancías"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Mercancías, Alimentos, bebidas y tabaco"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Mercancías, Mercancías no alimenticias"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios, Vivienda"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios, Educación (colegiaturas)"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), Subyacente, Servicios, Otros servicios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Agropecuarios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Agropecuarios, Frutas y verduras"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Agropecuarios, Pecuarios"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Energéticos y tarifas autorizadas por el gobierno"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Energéticos y tarifas autorizadas por el gobierno, Energéticos"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC), No subyacente, Energéticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno",
"Periodo disponible","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025","1Q Ene 1988-1Q Jun 2025",
"Periodicidad","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal",
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad",
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100",
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ",
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 821890 "," 821891 "," 821894 "," 821895 "," 821896 "," 821897 "," 821898 "," 821899 "," 821900 "," 821901 "," 821902 "," 821903 "," 821904 "," 821905 "," 821906 "," 821907 ",
"1Q Ene 1988","4.63698010645697","4.98607410797113","5.83080697831942","3.94764834845073","7.96253023442838","3.64425423466707","2.81613315455202","1.69690996582397","4.43399212914797","3.67514702660267","4.15061744643401","2.94066879890409","4.96667594695029","3.30065682705618","3.17124524511035","3.51440276409599",
"2Q Ene 1988","4.7995115679826","5.1857146403146","6.11019433554054","4.19903812415656","8.24815577053848","3.72592733872362","2.89272316385413","1.72896800313596","4.52643866863051","3.74808632398923","4.28128739481217","2.95347037030535","5.17964464779539","3.32193058259646","3.17124524511035","3.57767544029442",
